"Gene ID","source_id","Computed GO Component IDs","Computed GO Components","Computed GO Functions","Computed GO Function IDs","Computed GO Process IDs","Computed GO Processes"
"SRCN_1229","SRCN_1229.mRNA","GO:0016020","membrane","N/A","N/A","N/A","N/A"
"SRCN_1428","SRCN_1428.mRNA","N/A","N/A","N/A","N/A","N/A","N/A"
"SRCN_2315","SRCN_2315.mRNA","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"SRCN_4216","SRCN_4216.mRNA","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"SRCN_5319","SRCN_5319.mRNA","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"SRCN_5568","SRCN_5568.mRNA","N/A","N/A","N/A","N/A","N/A","N/A"
"cyc_00127","cyc_00127-t31_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"cyc_01940","cyc_01940-t31_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017;GO:0006904;GO:0016192","microtubule-based process;vesicle docking involved in exocytosis;vesicle-mediated transport"
"cyc_02282","cyc_02282-t31_1","N/A","N/A","triglyceride lipase activity","GO:0004806","GO:0006629","lipid metabolic process"
"cyc_02710","cyc_02710-t31_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"cyc_03366","cyc_03366-t31_1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"cyc_04504","cyc_04504-t31_1","GO:0005874","microtubule","GTP binding;structural constituent of cytoskeleton","GO:0005525;GO:0005200","GO:0007017","microtubule-based process"
"cyc_05034","cyc_05034-t31_1","GO:0005874","microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0007017","microtubule-based process"
"cyc_05125","cyc_05125-t31_1","N/A","N/A","hydrolase activity","GO:0016787","GO:0016042;GO:0006629","lipid catabolic process;lipid metabolic process"
"cyc_07282","cyc_07282-t31_1","N/A","N/A","hydrolase activity","GO:0016787","GO:0016042;GO:0006629","lipid catabolic process;lipid metabolic process"
"cyc_07446","cyc_07446-t31_1","GO:0005737;GO:0005874","cytoplasm;microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"cyc_07751","cyc_07751-t31_1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"cyc_08632","cyc_08632-t31_1","GO:0000930;GO:0005874","gamma-tubulin complex;microtubule","GTP binding;GTPase activity","GO:0005525;GO:0003924","GO:0031122;GO:0007020;GO:0007017","cytoplasmic microtubule organization;microtubule nucleation;microtubule-based process"
"cyc_08887","cyc_08887-t31_1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_205250","HHA_205250_t1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"HHA_207600","HHA_207600_t1","GO:0005874","microtubule","GTP binding;structural constituent of cytoskeleton","GO:0005525;GO:0005200","GO:0007017","microtubule-based process"
"HHA_212130","HHA_212130_t1","N/A","N/A","triglyceride lipase activity","GO:0004806","GO:0006629","lipid metabolic process"
"HHA_212240","HHA_212240_t1","GO:0005874","microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"HHA_220950","HHA_220950_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_221620","HHA_221620_t1","GO:0005874","microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"HHA_222188","HHA_222188_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_226870","HHA_226870_t1","GO:0000930;GO:0005874","gamma-tubulin complex;microtubule","GTP binding","GO:0005525","GO:0031122;GO:0007020;GO:0007017","cytoplasmic microtubule organization;microtubule nucleation;microtubule-based process"
"HHA_231370","HHA_231370_t1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"HHA_231400","HHA_231400_t1","GO:0005874","microtubule","GTP binding;structural constituent of cytoskeleton","GO:0005525;GO:0005200","GO:0007017","microtubule-based process"
"HHA_231770","HHA_231770_t1","GO:0005874","microtubule","GTP binding;structural constituent of cytoskeleton","GO:0005525;GO:0005200","GO:0007017","microtubule-based process"
"HHA_232600","HHA_232600_t1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"HHA_234380","HHA_234380_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_254420","HHA_254420_t1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"HHA_258580","HHA_258580_t1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"HHA_262730","HHA_262730_t1","N/A","N/A","ATP binding;protein kinase activity","GO:0005524;GO:0004672","GO:0006468","protein phosphorylation"
"HHA_264225","HHA_264225_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_266960","HHA_266960_t1","GO:0005874","microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
"HHA_273730","HHA_273730_t1","N/A","N/A","N/A","N/A","GO:0006629","lipid metabolic process"
"HHA_273850","HHA_273850_t1","GO:0005643","nuclear pore","structural constituent of nuclear pore","GO:0017056","N/A","N/A"
"HHA_275470","HHA_275470_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_275490","HHA_275490_t1","GO:0005643","nuclear pore","structural constituent of nuclear pore","GO:0017056","N/A","N/A"
"HHA_275870","HHA_275870_t1","GO:0005874","microtubule","GTP binding","GO:0005525","GO:0007017","microtubule-based process"
"HHA_279100","HHA_279100_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_279460","HHA_279460_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_283450","HHA_283450_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_295300","HHA_295300_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_299570","HHA_299570_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_305140","HHA_305140_t1","N/A","N/A","hydrolase activity","GO:0016787","GO:0016042;GO:0006629","lipid catabolic process;lipid metabolic process"
"HHA_312630","HHA_312630_t1","N/A","N/A","protein binding","GO:0005515","N/A","N/A"
"HHA_316400","HHA_316400_t1","GO:0005874","microtubule","GTP binding;structural constituent of cytoskeleton","GO:0005525;GO:0005200","GO:0007017","microtubule-based process"
"HHA_450480","HHA_450480_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"HHA_454170","HHA_454170_t1","N/A","N/A","N/A","N/A","N/A","N/A"
"BESB_009760","mrna.BESB_009760","GO:0005874","microtubule","GTP binding;GTPase activity;structural constituent of cytoskeleton","GO:0005525;GO:0003924;GO:0005200","GO:0007017","microtubule-based process"
